problem,N,repeat,method,sigma,n_samples,converged,termination,termination_status,termination_message,n_iter,n_fev,max_iter,max_fun,n_nonfinite,train_variance,train_objective,train_data,train_kl,fresh_objective,fresh_data,fresh_kl,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs
burgers,8,10,Ellipse+EB,,,True,closed_form,,,,,,,,,-0.6572118988632243,,,,,,0.0109752910211682,0.0796467179046567,0.9453125,0.2620176372433361,0.9697916666666668,0.4364239428028391,0.5681468500434126,inf,0.0109375,-1.5258552959431606,-0.0591634029810257,0.060361277261767,-3.761088474961427e-06,0.0494667930236564
burgers,8,11,Ellipse+EB,,,True,closed_form,,,,,,,,,-0.6662746207401242,,,,,,0.0211207498796284,0.1173328423063615,0.8723958333333334,0.3142053312040691,0.9973958333333331,0.4787249584358354,0.4688900386908895,inf,0.0010416666666666,-1.125503433588204,0.1019687080377093,0.1024194655024973,0.0014753481607821,0.0559650470121187
burgers,8,12,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.2675445277335966,,,,,,0.0145659162662923,0.0713990647614334,0.8927083333333333,0.1663288547262953,0.9703125,0.2558494033852964,0.3946710225188977,inf,0.0114583333333333,-1.872256593324392,0.0168410566117765,0.0173246988571581,-0.0003067342383634,0.011237031480317
burgers,8,13,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.321760393757843,,,,,,0.018413667101413,0.0957954986093179,0.7937500000000001,0.1702156105896508,0.9463541666666666,0.2726228386921827,0.7024633972281442,inf,0.0192708333333333,-1.2208693762634328,0.0821797402692592,0.0824259005645337,-0.0016029343854813,0.0559588810671265
burgers,8,14,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.2079950646042146,,,,,,0.0370827089063823,0.0688928357294164,0.9041666666666668,0.1816967986542159,0.9661458333333334,0.3143765627784819,0.4813400703261624,inf,0.0135416666666666,-1.6909258274618395,-0.0540695020888388,0.0650814981084712,0.0031188339610057,0.0411844577871291
burgers,8,15,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.055252041300982,,,,,,0.0123977502807974,0.0755565675450139,0.9677083333333334,0.3196892798764447,0.9838541666666668,0.5302410679278341,0.4592739560922002,inf,0.0057291666666666,-1.4473768918236014,-0.0598030079732353,0.0606018808604853,-0.0011860867297813,0.0502944575706102
burgers,8,16,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.6182347934470167,,,,,,0.0285349590703845,0.0704668574644573,0.8276041666666667,0.0994530526689943,0.9005208333333334,0.1606367872831793,0.7065739292576059,inf,0.0614583333333333,-1.5175236955950748,0.0910378053446093,0.0912663756469368,0.0025823551118484,0.0428625237370224
burgers,8,17,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.3776632588633555,,,,,,0.0218501668423414,0.0723404904246609,0.8130208333333333,0.1464656643100447,0.9473958333333334,0.2256154733139656,0.4520563391894548,inf,0.021875,-1.4011425962087418,0.1111316161680948,0.1114501455090507,-0.0023712171641163,0.0786300121060835
burgers,8,18,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.5967984997511866,,,,,,0.0321124996989965,0.0680697563269124,0.7135416666666667,0.0938226674425014,0.8541666666666667,0.1481577990348256,0.7174219052359532,inf,0.0526041666666666,-1.0349057163215365,0.1221973609917428,0.1223781529765724,0.0118485074740204,0.0755806399989425
burgers,8,19,Ellipse+EB,,,True,closed_form,,,,,,,,,-1.270197509692827,,,,,,0.0141873750835657,0.0850124703245375,0.93125,0.2630935737199709,0.9734375,0.4304101362106691,0.4744457853341356,inf,0.0125,-1.308433355287267,0.0471036624904885,0.0482558749737097,-0.0004539948056831,0.0157520687249712
