N,repeat,method,sigma,n_samples,converged,n_nonfinite,train_objective,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor
10,2,pacm,0.01,64.0,True,0,9.00567165148743,0.5111837908625603,35.2225123373148,0.9175,172.23477623000193,1.0,283.37122137326526,187.62934885656804,5.038710501294211,0.0,5.041785234701287
10,2,pacm,0.003,64.0,True,0,84.59365553671998,0.3908267905935645,39.804838747616095,0.845,136.77027452053858,0.904,225.02284722503495,180.7338226731923,6.034240543680868,0.0,5.370831880928074
10,2,pac2t,1.0,16.0,True,0,2.3830389771349636,0.05852654203772545,34.81116210236284,1.0,185.70590185987263,1.0,305.534743784741,185.70590185987263,4.980586786314951,0.0,4.985703100932558
10,2,pac2t,0.3,16.0,True,0,3.9580573201240514,0.05740616610273719,34.870604755101844,0.532,57.844004405728654,0.8465,95.16850508565662,373.85427831336517,6.317547659750057,0.0,6.037749029869172
10,2,pac2t,0.1,16.0,True,0,23.68930524720088,0.11869266675785184,34.95371905617126,0.133,18.79977472904704,0.2585,30.93054285040684,917.0274337761357,29.107360141214954,0.0,8.74877820429431
10,2,pac2t,0.03,16.0,True,0,255.44217213414905,0.4847644162364304,34.96954414118409,0.028,5.389279822940831,0.0485,8.866773825685836,1175.6893876471906,327.9603248869376,0.0,9.983507371215634
10,2,pac2t,0.01,16.0,True,0,2298.5989280748686,2.7941872500814497,34.971187243174526,0.01,1.7053634921850203,0.012,2.8057686504641435,1251.4525642124377,3160.402303584273,0.0,10.247144381763796
10,2,pac2t,0.003,16.0,False,0,25546.550417283976,5.386098000220954,34.97263564788951,0.002,0.47172481417377526,0.0045,0.7761106071052246,1277.178935811209,49016.34605793063,0.0,10.327223004203104
10,2,pac2t_ensemble,1.0,16.0,True,0,1.1494417627981668,0.05294883297756314,35.01594023782272,0.014,2.6668815610051206,0.014,2.706613405755231,1228.3355745097092,,,
10,2,pac2t_ensemble,0.3,16.0,True,0,2.113686243726679,0.04841979220509529,34.904414405524996,0.1505,26.993089279826737,0.182,32.721691524536354,795.530076562908,,,
10,2,pac2t_ensemble,0.1,16.0,True,0,21.119618822384584,0.01291341707110405,34.95436662593545,0.039,6.615618240147178,0.045,7.874817786843201,1144.9834676065614,,,
