problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,bound,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_nonfinite
burgers,16.0,16,Bayesian ridge,48,16,8,2.0,False,0.0008755000308156,0.0648542226319863,0.6317708333333333,0.0807121376644058,0.8505208333333333,0.1327925610044483,0.7028855005638943,6.597691369401677,0.0,-1.012420262513985,,,,,,,,,,,,,,
burgers,16.0,16,POPS hypercube,48,16,8,2.0,False,0.1834890418685972,0.0648542226319863,0.603125,0.0957652687745994,0.7796875,0.1299942803068804,0.6160550517738462,,,,,,,,,,,,,,,,,
burgers,16.0,16,POPS ellipse,48,16,8,2.0,False,0.0069720423780381,0.0648542226319859,0.8572916666666667,0.1368851693217826,0.9255208333333332,0.1895456972508328,0.4038379144580845,inf,0.0541666666666666,-1.5587890107473352,,,,,,,,,,,,,,
burgers,16.0,16,Ellipse+EB,48,16,8,2.0,False,0.0315207079984247,0.0648542226319859,0.90625,0.1572151684295217,0.9713541666666666,0.237406225857843,0.3642553874283638,inf,0.0140625,-1.7988143275727615,,,,,,,,,,,,,,
burgers,16.0,16,Ellipse+PAC,48,16,8,2.0,False,0.237155457958579,0.0730024538818947,0.9526041666666668,0.3445877786120587,0.978125,0.5637492017071525,0.521935209099642,inf,0.0151041666666666,-1.4003644660412462,4.381005476296233,5.560681631015528,1.5,-1.2178326737349907,0.0367394300163411,2.0545264217127723,5.562098720014882,0.0,-1.2601180759509796,0.0099479166666666,-1.4046740580458568,,,
burgers,16.0,16,Bayesian stacking,48,16,8,2.0,False,0.0139001249335706,0.0707422928328463,0.9130208333333332,0.2360059756268153,0.9458333333333332,0.3443723267936269,0.5921928036162497,-0.4718796516008589,0.0,-1.5846884793706262,,,,,,,,,,,,,,
burgers,16.0,16,PVI,48,16,8,2.0,False,2.013343833386898,0.068893621175755,0.9083333333333332,0.1929436895329312,0.9572916666666668,0.3174427961412328,0.4399750358818459,-1.1708892861072864,0.0,-1.7254078617207242,,,,,,,,,,,,0.0,True,
burgers,16.0,16,PVI (lamb=1),48,16,8,2.0,False,2.608556375373155,0.0680157816397443,0.9098958333333332,0.189856806910113,0.9604166666666668,0.3123640674535038,0.4296480350725557,-1.148634924287617,0.0,-1.7542647635102078,,,,,,,,,,,,1.0,True,
burgers,16.0,16,POPS ellipse (free center),48,16,8,2.0,False,0.007502291817218,0.0708366671135442,0.7057291666666666,0.1056158882261511,0.8520833333333333,0.1462469402184257,0.5110023026283235,inf,0.10625,-1.0901718812051822,,,,,,,,,,,,,,
burgers,16.0,16,Ellipse+EB (free center),48,16,8,2.0,False,0.0075357081368565,0.0708434000240136,0.9109375,0.1383786151430032,0.9630208333333332,0.2140583380510248,0.4150361407508199,inf,0.0192708333333333,-1.8687297092609032,,,,,,,,,,,,,,
